gene	TPM_wt_17c_15min	TPM_wt_17c_1hr	TPM_wt_17c_4hr	TPM_wt_27c_15min	TPM_wt_27c_1hr	TPM_wt_27c_4hr
AT1G01060	377.4150001	250.1152446	47.54751327	320.1826327	133.6047105	11.35181754
AT1G01240	7.704423015	7.145901121	25.44163968	7.262965849	17.04549418	28.48211922
AT1G01390	13.40238402	7.87935206	5.282159063	6.985668437	2.764400492	2.900843829
AT1G01500	4.958781046	8.337161646	16.24595708	2.573219091	2.517447529	9.816630384
AT1G02460	1.904479806	2.076135073	3.322347535	2.034574777	4.265259474	2.003186969
AT1G02660	11.40886106	12.03463141	12.60794203	21.40778617	6.7786803	10.57441068
AT1G02920	37.49360431	37.1365904	138.335441	17.95698396	21.40856227	88.1117305
AT1G03090	11.64409842	12.1303039	26.65845245	11.95157622	20.73679354	37.20060204
AT1G03220	112.0657682	90.60221148	130.058341	115.5174315	205.1185305	146.4231956
AT1G03470	12.89556862	11.28343401	6.86190586	14.50483639	8.036643137	20.16514684
AT1G03610	34.32499949	16.32842485	26.42920762	24.99953161	30.38071822	28.91926158
AT1G03850	8.878981094	7.696306883	45.95308002	10.26707943	56.75141606	45.57038983
AT1G03860	81.53989028	67.40792271	74.57497649	87.89367702	93.64662964	102.1110506
AT1G04400	36.4812995	39.99375962	73.61335068	35.83030647	62.83155391	68.87262751
AT1G04520	64.2500404	45.34670783	25.23537715	50.23163827	20.0082146	17.92650308
AT1G04530	105.5869874	98.04744717	88.23847551	87.51951693	63.16989986	56.27864174
AT1G04770	37.82019019	45.62143858	19.16681976	58.12735965	22.01443663	20.99513117
AT1G05260	84.73807782	92.2106964	104.7473993	95.26441077	75.73519096	58.46327499
AT1G06000	83.09304445	91.69911927	21.26375402	82.41272359	24.97485307	10.3611504
AT1G06080	12.92755193	7.6107274	8.915166265	6.509688513	7.14755501	12.57431986
AT1G06180	35.12779558	18.36731451	14.03820244	16.4404342	14.9269338	11.24703808
AT1G07150	10.12711686	5.320368878	4.837974184	3.728045322	4.212773704	2.516864913
AT1G07180	162.4479837	139.2080123	97.35603635	152.3200882	116.6492183	52.35107112
AT1G08090	1.368739684	1.97524626	35.4403217	1.694912721	0.628526138	3.053749881
AT1G08280	13.88263702	10.72456369	12.17910686	7.524315489	7.760337855	11.08778618
AT1G08300	2.868693361	2.77121029	2.340603461	3.135113239	3.860009488	6.547468114
AT1G08580	105.3942787	103.6965158	95.30569378	79.7575472	53.35090098	56.99361141
AT1G08650	66.71288446	33.14091617	28.17077836	32.92661952	16.53271022	25.1923362
AT1G08720	9.698878999	10.65706992	12.1073065	12.70532121	10.5157545	12.87208023
AT1G08890	12.27063065	9.554825718	13.89331149	6.799981455	5.926800032	12.09433112
AT1G09210	157.9490683	134.5204823	141.5509581	150.4468979	177.4008882	121.3920511
AT1G09240	8.07857724	9.014094149	11.78505238	7.028400636	2.448938985	2.540403641
AT1G09350	5.552640318	17.59077011	9.966729889	2.406312023	13.82645443	1.556196471
AT1G09560	334.790934	315.812969	268.2220832	408.030904	244.3807458	161.0125831
AT1G09780	227.468019	179.1203878	233.9716917	207.7194968	110.6241143	89.1367888
AT1G10050	5.858748836	4.827937538	6.362978702	8.144552379	7.069257065	5.960499583
AT1G10060	7.336406835	4.616395446	19.06824514	3.587397087	3.425559175	12.15430059
AT1G10090	12.4312627	23.70888994	18.80978707	16.17726508	12.97132816	14.3896849
AT1G10230	16.20937655	15.8991349	12.54703941	26.70044169	23.66447086	19.7614178
AT1G10370	254.9574809	316.1801402	153.0976212	258.084255	194.7991143	70.87910086
AT1G10380	18.70188823	19.94249029	18.89551455	23.30068301	31.26921826	21.48281486
AT1G10490	18.72758587	16.92011042	14.33835286	15.51445825	8.673996485	10.83336504
AT1G11100	1.491462455	1.045857575	1.539867281	2.796133101	2.832627151	1.795443532
AT1G11410	15.74653977	11.27109849	8.53415688	12.50434907	8.006266646	13.22906296
AT1G12090	407.4328791	574.9561887	1006.765192	327.7557753	283.5744617	686.9322222
AT1G12370	21.87387988	16.66732571	7.809218066	20.38571177	6.81184948	4.846889403
AT1G12560	13.96590839	17.05759859	25.25968852	21.73296451	33.55743226	22.48042928
AT1G12740	7.739904314	5.987748786	12.55991855	5.927178123	11.62433429	5.552345986
AT1G12780	20.10215644	16.33546253	51.84982599	17.25386962	28.73664907	91.7224053
AT1G13080	35.207498	33.72595516	34.2015039	49.84016844	92.94073123	69.55902208
AT1G13300	11.35558246	10.28597121	34.49291709	8.612678784	29.01810499	24.31585354
AT1G13510	1.708011877	2.918891203	5.160077559	1.596032481	2.081467756	1.575636519
AT1G14350	26.13391606	17.52461528	16.720915	15.56132397	8.335403308	13.25032721
AT1G14360	28.83837364	26.06056833	23.6836188	38.41423143	59.76030678	40.73830241
AT1G14540	6.358084893	7.329914439	41.16809486	5.589952104	11.39733636	4.723217763
AT1G14700	30.3747129	27.23985649	31.98086539	25.8207147	38.85073107	50.16990193
AT1G15670	5.523980696	17.42971664	42.3520995	13.95248022	36.76951582	36.05722451
AT1G15740	39.29308815	29.19624596	49.71583332	33.51110507	45.84523559	56.26279136
AT1G16370	8.574668074	16.01114612	4.928558152	12.54037752	9.202596624	3.417479008
AT1G16510	5.797768229	8.614132085	7.163271485	2.97076632	7.740010514	2.290022365
AT1G17340	12.03883483	17.76031476	14.33430425	17.74123891	12.69172524	13.4226889
AT1G17380	21.06066639	24.9926806	2.307419702	25.24996757	8.096972237	1.328647114
AT1G17420	9.967472596	26.16828455	3.347643338	9.049629402	8.531758143	1.880678796
AT1G17620	98.21532146	127.6397032	54.04681163	124.4556589	53.97157112	39.01835413
AT1G18150	34.16666137	33.5897375	50.98857408	28.70899133	16.94393139	30.66847981
AT1G18210	127.7809717	188.9265495	114.7250057	151.6262086	117.1256907	62.75832675
AT1G18330	14.93632488	14.33432808	33.74629587	99.12658326	40.59006184	61.63365783
AT1G18540	451.4032622	464.3143832	493.9426903	493.1393606	429.7552385	290.1032671
AT1G18660	70.85649064	62.49735652	50.55365144	59.85865522	33.97816849	38.95897492
AT1G18710	50.3150903	42.79124296	5.657235799	11.56497996	13.5923281	4.306354199
AT1G18850	24.12002349	20.86056938	16.11723216	13.51284381	10.32631693	13.84326442
AT1G19180	148.9725996	103.8783113	44.55496671	126.1847262	34.89129579	17.44959332
AT1G19200	8.01515063	6.193596424	3.336186412	2.032393244	2.833078263	0.951262189
AT1G19530	15.7597703	11.34540814	86.51249527	15.08317515	117.1810981	131.9306909
AT1G19660	71.690564	55.13078369	89.55932794	77.37417211	105.9418248	159.3873322
AT1G19900	4.638460711	4.184224269	5.45729161	4.861478375	10.08529121	4.31179513
AT1G20190	59.42711081	29.10744343	45.20314627	20.66363626	16.14654249	24.34773516
AT1G20450	250.2391922	447.936408	174.327942	256.0652288	373.1396252	80.82196154
AT1G21110	29.11819485	18.10416532	60.80151693	16.41517994	6.868355207	13.75412748
AT1G21120	6.159971135	4.271339426	24.01668061	1.924044287	1.642413537	2.163224109
AT1G21350	51.7082903	51.01095994	49.80743014	64.35025333	84.10740003	87.17023015
AT1G21540	3.083211376	3.064398885	5.531998376	1.339728077	0.816360111	2.459157416
AT1G21550	2.86748603	3.368879803	5.725697389	31.83701111	26.50176084	7.5495192
AT1G22070	13.55184708	13.13076029	28.35471637	9.356509555	5.585847061	19.63193411
AT1G22370	3.149198264	2.264765217	4.32477531	3.745645815	5.442831147	10.5601797
AT1G22500	11.8156174	11.27393004	29.10822229	12.21985093	18.93718638	40.39047928
AT1G22570	3.507886262	9.117752739	15.77180205	5.231255096	2.016417614	12.6524534
AT1G22640	28.19549481	20.41091153	22.89216467	16.11679201	15.79587414	25.50296194
AT1G23180	21.32918873	16.65083275	17.0759048	25.88457358	26.45966373	18.39424424
AT1G23390	19.88366159	26.08115991	107.4654048	30.87668837	59.91524148	120.6468768
AT1G23870	14.59276715	17.17978261	29.93457773	17.53778841	27.79754669	30.43029374
AT1G24100	83.61096285	119.9489825	64.04263189	111.9640112	92.24200024	78.66091256
AT1G24148	17.26390435	15.16934081	11.39005099	14.88643902	11.2897097	20.95946665
AT1G24280	26.01961529	17.86593442	30.0934548	18.30025454	14.55447174	16.70040071
AT1G25230	15.55695709	22.08143597	52.02643126	14.84433657	42.54372556	86.21826919
AT1G26380	0.538388314	0.544077225	6.520466362	0.1177484	0.079961782	0.764507024
AT1G26440	11.92701716	9.22141542	12.44884098	8.801570916	9.431060262	24.14635429
AT1G26730	5.311821677	10.53397594	3.4422693	15.31086125	3.657187654	2.840258588
AT1G26770	101.9105004	54.51381286	50.53165861	51.57645081	43.64255158	29.76387048
AT1G27090	84.51751425	67.15346243	88.22275016	93.66030951	98.14348732	108.262521
AT1G27350	168.0699375	149.5970355	176.7599194	191.9428652	231.5866986	201.8513006
AT1G27730	131.1009283	22.32330201	18.22256066	77.53997914	7.032308898	5.447363494
AT1G27760	153.7630607	147.8930315	73.05193529	100.4545309	54.49105572	39.00047258
AT1G27770	47.00222321	37.11682364	19.83155327	76.07816332	15.22683328	17.56569683
AT1G27930	31.42727991	32.13377322	47.1583464	21.65029464	17.90230051	28.84914914
AT1G28010	9.658114361	6.653563203	7.145121373	5.338059559	4.457095535	6.143028478
AT1G28130	33.84532362	19.99214999	17.59706223	18.68858186	24.55785405	16.26281263
AT1G28260	3.472410845	2.500452922	4.759835166	2.044874902	4.950027578	7.157452818
AT1G28380	48.54025172	31.43055968	27.87535213	40.98116949	13.92875911	18.69827909
AT1G28600	143.659606	127.8366506	89.70364478	123.1807219	34.20778072	55.39615861
AT1G28610	21.41328271	24.1336523	22.6596603	19.19598339	10.79926878	21.55121636
AT1G28670	52.96663014	51.2842687	51.66965804	50.80880984	61.16330077	99.20442948
AT1G28680	47.82461265	59.72249688	44.16276764	46.49691875	33.77999008	24.34445606
AT1G29720	20.40534736	17.15795728	11.42502626	14.91384862	8.311526208	5.675796461
AT1G29910	1734.244211	2504.375959	3369.760524	2100.311353	2941.78069	2373.00181
AT1G29930	3537.155772	4849.658246	5418.838433	4548.33116	4885.966654	2786.800939
AT1G30070	32.53632699	27.86385962	25.09770994	215.1547538	178.2131815	41.12235879
AT1G30370	3.217474598	0.513687167	1.58698278	0.375149557	0.38239111	0.564616293
AT1G30500	15.12819996	10.71041095	5.289947447	7.661716838	8.503321236	12.42170891
AT1G30520	23.26312351	26.89314582	28.27534059	25.83722619	39.85005921	27.45013742
AT1G30720	5.95608757	6.578186759	23.71119365	6.759975437	13.25016287	39.75603776
AT1G31230	52.09792298	46.15715652	50.58974928	55.11709274	22.17190011	35.38689428
AT1G31280	7.320331343	6.09977998	4.912370925	22.40090933	8.617272088	4.684738832
AT1G31580	962.2048507	1319.997424	776.4074073	1185.243382	892.7799415	379.7831654
AT1G32090	15.51057861	13.69302679	14.75425434	21.33332669	21.18606302	25.59749398
AT1G32170	27.52119068	36.13065955	26.9241338	43.69325761	38.87405	32.61580455
AT1G32200	74.63905992	70.04898998	77.25702819	70.66763821	60.97084973	44.60654157
AT1G32240	16.42237594	10.48669777	7.382918797	9.481393091	7.360928004	6.596970937
AT1G32260	15.76250942	11.92877795	15.64008841	16.1368619	20.3044965	23.72495795
AT1G32400	90.56580302	86.38135507	91.3013505	89.05579361	110.8544551	117.2675029
AT1G32440	68.13488106	60.79919193	51.59198019	56.42480434	35.02035901	28.85346554
AT1G32540	21.83475697	20.00525815	27.97322433	10.90175809	7.632466542	17.20397246
AT1G32780	6.759331878	5.80258683	4.151403461	5.723411874	6.281643157	9.891665819
AT1G33055	2.942818456	0.785616351	9.219869342	2.568271224	24.2494759	25.07232168
AT1G33780	36.75488592	30.8537577	35.46558609	36.15582159	42.14955023	50.37706109
AT1G35660	3.726143319	2.63988823	3.069511432	7.478456879	6.745153484	5.833773144
AT1G43800	32.80205503	4.827525739	11.73346811	25.03531832	39.55844216	42.74195362
